"id","SopDId","Description","HSOPD_Zone","Pre","Mid","Post","Input","ZoneID","Zones_Zone","Company","created_at","ImageRequired"
1570,1,Freezer 1 Temperature is at or below 8 degrees.,7,1,1,1,1,7,Freezer 1,1,,0
1571,2,Freezer 2 Temperature is at or below 8 degrees.,69,1,1,1,1,69,Freezer 2,1,,0
1572,3,Cooler Temperature at or Below 38 Degrees F.,22,1,1,1,1,22,Temperatures,2,,0
1573,4,Cooler Unit and Equipment Is In Good Repair and In Acceptable Working Condition.,21,1,1,1,0,21,Cooler,2,,0
1574,5,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",21,1,1,1,0,21,Cooler,2,,0
1575,6,"Condition and Cleanliness of Non-Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",21,1,0,1,0,21,Cooler,2,,0
1576,7,Freezer Temperature at or Below 15 Degrees F.,22,1,1,1,1,22,Temperatures,2,,0
1577,8,Smoking Equipment Is In Good Repair and In Acceptable Working Condition.,67,1,1,1,0,67,Smoke Room,2,,0
1578,9,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",67,1,1,1,0,67,Smoke Room,2,,0
1579,10,"Condition and Cleanliness of Non-Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",67,1,0,1,0,67,Smoke Room,2,,0
1580,11,All Drains free and clear of debris.,67,1,1,1,0,67,Smoke Room,2,,0
1581,12,Freezer 1 Unit and Equipment Is In Good Repair and In Acceptable Working Condition.,23,1,1,1,0,23,Freezer,2,,0
1582,13,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",23,1,1,1,0,23,Freezer,2,,0
1583,14,"Condition and Cleanliness of Non-Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.",23,1,0,1,0,23,Freezer,2,,0
1584,15,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.  (i.e.  Knives, Gloves, Aprons, Tables, Cutting Boards, Food Process Equipment)",19,1,1,1,0,19,Pack Room 1,2,,0
1585,16,"Condition and Cleanliness of Non-Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair. (i.e.  Floors, Walls, Shelves, Sinks)",19,1,1,1,0,19,Pack Room 1,2,,0
1586,17,"Food Process and Handling Equipment Clean, Sanitized, and In Good Repair.",19,1,1,1,0,19,Pack Room 1,2,,0
1587,19,"Condition and Cleanliness of Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair.  (i.e.  Knives, Gloves, Aprons, Tables, Cutting Boards, Food Process Equipment)",20,1,1,1,0,20,Pack Room 2,2,,0
1588,20,"Condition and Cleanliness of Non-Food Contact Surfaces Observed Clean, Sanitized, and In Good Repair. (i.e.  Floors, Walls, Shelves, Sinks)",20,1,1,1,0,20,Pack Room 2,2,,0
1589,21,"Food Process and Handling Equipment Clean, Sanitized, and In Good Repair.",20,1,1,1,0,20,Pack Room 2,2,,0
1590,22,"Smoked Salmon Fillet Slicing Machine(s) Clean, Sanitized, and In Good Repair.",20,1,1,1,0,20,Pack Room 2,2,,0
1591,23,All Hand-Washing Stations Cleaned and Properly Supplied.,27,1,1,1,0,27,Restrooms,2,,0
1592,24,"All Toilets clean, properly functioning and adequately Supplied.",27,1,1,1,0,27,Restrooms,2,,0
1593,25,"Floors, Walls, and Other Surfaces observed Clean and Free From Debris.",27,1,1,1,0,27,Restrooms,2,,0
1594,26,Trash area Observed Neat and Properly Maintained.,26,1,1,1,0,26,Exterior,2,,0
1595,27,Entrance To Raw and Pack Rooms Observed Clean and Free of Debris.,26,1,1,1,0,26,Exterior,2,,0
1596,28,"Insects, Rodents, and other Pests controlled and Excluded From Processing Areas.  Proper Functioning Doors, Screens, and Barriers (i.e. Air Curtains).",28,1,1,1,0,28,General,2,,0
1597,29,Refuse / Trash Containers Emptied and Cleaned as Necessary.,28,1,1,1,0,28,General,2,,0
1598,30,"Poisonous / Toxic Materials and Chemicals Properly Used, Stored, Seperated, and Labeled.",28,1,1,1,0,28,General,2,,0
1599,31,"Adequate Equipment for Cleaning and Sanitizing (Sinks, Brushes, Detergents, Sanitizers, Etc.)",28,1,1,1,0,28,General,2,,0
1600,32,Only Chemicals Necessary for Plant Operations Maintained on premisis.,28,1,1,1,0,28,General,2,,0
1601,33,Lights Protected and Ceilings Observed Clean.,28,1,1,1,0,28,General,2,,0
1602,34,All Drains are Clean and Free of Debris,28,1,1,1,0,28,General,2,,0
1603,35,Product Protected From Contamination.,28,1,1,1,0,28,General,2,,0
1604,36,"Condensate Not Contaminating Food Contact Surfaces, Product, Packaging Material.",28,1,1,1,0,28,General,2,,0
1605,37,"Processing Operations Separated by Partitions, Space, or Time.",28,1,1,1,0,28,General,2,,0
1606,38,Employees Do Not Show Signs of Medical Problems.,28,1,1,0,0,28,General,2,,0
1607,39,"Employees Observed with Clean and Appropriate Attire.  (i.e. Hairnets, Aprons, Gloves, Boots, Etc.)",28,1,1,0,0,28,General,2,,0
1608,40,Employees Observed Following Saftey Procedures When Using Food Contact and Non-Food Contact Equipment and Utensils.,28,1,1,0,0,28,General,2,,0
1609,41,"Hands, Gloves, Equipment, and Utensils Washed / Sanitized after contact with unsanitary objects.",28,1,1,0,0,28,General,2,,0
1610,42,"Quaternary Sanitizer Used To Sanitize Equipment, Tables and all other Food Contact and Non-Food Contact Equiptment.",29,1,0,0,0,29,Sanitation,2,,0
1611,43,Thermometor Used To Take Product Internal Temperatures and IR (Laser) Thermometor Are Accurate as Verified By Using The Ice Bath Method.,22,1,0,0,1,22,Temperatures,2,,0
1612,44,Sanitizer Being Used is a Quaternary Ammonium Verified via Test Strip at 400 PPM For All Non-Food Contact Surfaces. (MG 4-Quat MSDS provided in records),29,1,0,0,1,29,Sanitation,2,,0
1613,45,Visual Inspection Of Production Areas To Ensure Safe For Production.,29,1,0,0,0,29,Sanitation,2,,0
1615,47,No Food Processing Utensils Observed In Unauthorized Areas. (i.e. Knifes In Receiving Areas.),30,1,1,1,0,30,General,1,,0
1616,48,"Freezer 1 Floors, Walls, and Ceilings Observed Clean and Free From Debris.",7,1,1,1,0,7,Freezer 1,1,,0
1617,49,Employees observed following safety procedures when using food contact and non-food contact equipment and utensils.,30,1,1,1,0,30,General,1,,0
1618,50,"Hands, gloves, equipment, and utensils washed/sanitized after contact with unsanitary objects.",30,1,1,1,0,30,General,1,,0
1619,51,Freezer 1 unit and equipment is in good repair and in acceptable working condition.,7,1,1,1,0,7,Freezer 1,1,,0
1620,52,"Freezer 1 Condition and cleanliness of food contact surfaces observed clean, sanitized, and in good repair.",7,1,1,1,0,7,Freezer 1,1,,0
1621,53,"Freezer 1 Condition and cleanliness of non-food contact surfaces observed clean, sanitized, and in good repair.",7,1,1,1,0,7,Freezer 1,1,,0
1622,54,Certified Thermometer Temperature Readout (32F),58,0,1,0,1,58,Thermometers,1,,0
1625,57,Employees do not show signs of medical problems,30,1,1,0,0,30,General,1,,0
1626,58,"Condensate not contaminating food contact surfaces, products, or packaging materials.",30,1,1,1,0,30,General,1,,0
1627,59,Drains are clean and free of debris,30,1,1,1,0,30,General,1,,0
1628,60,Lights protected and ceilings oberved clean.,30,1,1,1,0,30,General,1,,0
1629,61,"Only chemicals necessary for plant operations maintained on premises, They are properly secured in the chemical cage and verified the lock is secured and only authorized personnel has key to unlock.",30,1,1,1,0,30,General,1,,0
1630,62,"adequate equipment for cleaning and sanitizing (sinks, brushes, detergents, sanitizers, etc.)",30,1,1,1,0,30,General,1,,0
1631,63,"Poisonous/toxic materials and chemicals properly used, segregated, labeled, and properly secured in the chemical cage.",30,1,1,1,0,30,General,1,,0
1632,64,"Insects, rodents, and other pests controlled and excluded from processing areas. Proper functioning doors, screens, and barriers (i.e. air curtains)",30,1,1,1,0,30,General,1,,0
1633,65,"Processing operations separated by partitions, space, or time",30,1,1,1,0,30,General,1,,0
1635,67,"Condition and cleanliness of food contact surfaces observed clean, sanitized, and in good repair. (i.e. knives, gloves, aprons, tables, cutting boards, food process equipment)",2,1,1,1,0,2,Process Room 2,1,,0
1636,68,"Whizard 3 is functioning adequately, clean, sanitized, and in good repair.",2,1,1,1,0,2,Process Room 2,1,,0
1638,70,"Condition and cleanliness of non-food contact surfaces observed clean, sanitized, and in good repair (i.e. floors, walls, shelves, sinks, etc.)",2,1,1,1,0,2,Process Room 2,1,,0
1639,71,"Refrigeration Unit is functioning adequately, clean, sanitized, and in good repair.",2,1,1,1,0,2,Process Room 2,1,,0
1640,72,"Food process and handling equipment clean, sanitized, and in good repair.",1,1,1,1,0,1,Process Room 1,1,,0
1641,73,"Food process and handling equipment clean, sanitized, and in good repair.",2,1,1,1,0,2,Process Room 2,1,,0
1642,74,"Protection from adulterants: light fixtures shielded, product protected during processing. Lights in the processing room functioning.",1,1,1,1,0,1,Process Room 1,1,,0
1643,75,"Steen Tabletop Skinner is functioning adequately, clean, sanitized, and in good repair.",1,0,0,0,0,1,Process Room 1,1,,0
1644,76,"Portion Machine I-Cut 130 is functioning adequately, clean, sanitized, and in good repair.",2,0,0,0,0,2,Process Room 2,1,,0
1645,77,"Box Strapper Machine is functioning adequately, clean, sanitized, and in good repair.",2,1,1,1,0,2,Process Room 2,1,,0
1646,79,Cooler 1 Temperature is at or below 40 degrees.,4,1,1,1,1,4,Cooler 1,1,,0
